"Nominal brown shrimp prices by size, 0-15, 15-20, etc.",,,,,,,,,
,,0-15,15-20,20-25,25-30,30-40,40-50,50-67,Pieces
Year,Month,price1,price2,price3,price4,price5,price6,price7,price8
1990,1,5.759555465,4.527945872,3.858928071,3.514200832,3.192596609,2.841849966,2.54415628,1.910168236
1990,2,5.962003847,4.601218856,3.90400544,3.660123275,3.359026722,2.925337664,2.661750431,1.992272943
1990,3,6.341150505,4.753105387,4.170154143,3.870107021,3.556246121,3.414308628,3.179252479,2.457202073
1990,4,6.058025577,4.904859873,4.26679422,3.969849673,3.703260885,3.204955068,2.913211903,1.776717746
1990,5,5.827911652,4.830152374,4.464854478,4.041919716,3.637094201,2.961828687,2.17059349,1.188236536
1990,6,5.818761292,4.788106337,4.382883567,3.879214266,3.270806964,2.712393632,2.239497802,1.450032245
1990,7,5.923164993,4.987179487,4.356993267,3.540394871,2.882228712,2.512950583,2.17032006,1.648464142
1990,8,5.563856926,4.854975559,4.266385694,3.4965833,2.934561646,2.452177137,2.136210905,1.598242815
1990,9,5.912565621,4.998191859,4.416478291,3.758592484,3.140213747,2.660816111,2.337113624,1.745624186
1990,10,6.311225952,5.296802562,4.672483114,4.183780113,3.446375802,2.966602596,2.662274751,1.958313571
1990,11,6.346354343,5.310283035,4.9406481,4.287339244,3.52759565,3.08472669,2.803760292,2.101459328
1990,12,6.548276313,5.462646213,4.980524055,4.424877816,3.671640391,3.261505143,2.881694955,2.095611475
1991,1,6.852531215,5.64175148,5.161333665,4.553932021,3.646237785,3.081640126,2.814707974,2.226549781
1991,2,7.560039285,5.868435753,5.317329426,4.963925254,3.961684606,3.222804557,2.838507102,2.323714856
1991,3,8.113594744,6.08715353,5.305974309,5.121826136,4.061655039,3.362230705,3.060492815,2.791841231
1991,4,8.099259729,6.224006892,5.381679459,5.110570963,4.206124118,3.41256207,2.749494177,1.8156332
1991,5,7.95472291,6.311517696,5.373001914,5.117821394,3.99450852,3.104279597,2.394294225,1.329205278
1991,6,9.096600205,6.046483651,4.671596535,4.359033292,3.393568066,2.753369915,2.410016448,1.67710425
1991,7,6.872480322,5.246101214,4.146707565,3.705371852,3.06762558,2.547284682,2.310123261,1.778776653
1991,8,6.483052495,5.016793524,3.959539954,3.657255184,3.260797471,2.854418188,2.533143512,1.925165858
1991,9,6.51068241,5.061817493,4.081286327,3.884624558,3.374148163,2.932127271,2.61364649,1.980534955
1991,10,6.526441752,5.019458852,4.162974125,3.916804326,3.336689097,2.954977011,2.679322132,1.931088743
1991,11,6.383598475,4.786994841,3.965822588,3.740612191,3.243803014,2.859537496,2.558459576,1.942587561
1991,12,6.435794037,4.626572066,3.931647038,3.675522672,3.183764039,2.816888552,2.51234925,1.859801668
1992,1,6.401985399,4.579846462,3.865074717,3.656903969,3.156902767,2.816718472,2.511405491,1.997324875
1992,2,6.665287011,4.7210377,4.067158478,3.710437126,3.283655365,2.958896006,2.66148479,2.198392144
1992,3,6.663220558,4.783340738,4.371459498,3.824149055,3.398300391,2.939775815,2.775316957,2.402319236
1992,4,6.521299011,4.894890979,4.643311571,3.882175787,3.617885669,3.017912259,2.64606736,1.931601
1992,5,6.39107677,5.009409342,4.911013779,4.042135804,3.511500526,2.974681832,2.498634336,1.691013553
1992,6,6.629816446,5.11145442,4.969228859,4.022695091,3.520287428,2.940435257,2.674970361,1.984757512
1992,7,6.502854109,5.386640638,4.879622501,4.114537131,3.358587207,2.861881844,2.634792807,2.114337346
1992,8,7.024739995,5.829595592,5.395062864,4.3898981,3.731967849,3.044148555,2.708987439,2.246421453
1992,9,7.114723606,5.917207676,5.289691137,4.461195707,3.845479355,3.10561778,2.727140304,2.019383344
1992,10,6.843276278,5.588831904,5.16138319,4.190482605,3.506737299,2.767082327,2.416951415,1.820748693
1992,11,6.489940025,5.480303279,4.67925245,3.911859516,3.341147464,2.67406053,2.336556331,1.800483757
1992,12,6.51802246,5.418537395,4.586515217,3.931767467,3.200335786,2.590455793,2.35973183,1.781991182
1993,1,6.512436091,5.418393729,4.566365371,3.959302252,3.29147766,2.658174254,2.335980577,1.933250127
1993,2,6.618145487,5.708588517,4.696965611,4.226505534,3.417259191,2.792133093,2.601412485,2.145926565
1993,3,6.530403181,5.717138635,4.924197787,4.250471272,3.497254393,2.929658249,2.660084237,2.25457841
1993,4,6.539504937,5.623407798,4.93367302,4.392305749,3.528798876,2.997598706,2.644210339,2.094630503
